B11,B2,B3,B4,B8,Label
29,226,228,109,67,Water
17,243,321,155,23,Water
1563,529,677,605,2019,Agriculture
2011,1268,1270,1478,1844,Infrastructure
2127,431,549,682,1257,Agriculture
28,282,380,212,38,Water
1896,566,701,657,2068,Agriculture
1952,1422,1652,1522,2008,Infrastructure
29,270,265,111,57,Water
31,322,338,165,83,Water
1606,398,580,373,2194,Forests
2662,601,766,962,1693,BarrenLand
19,251,308,157,27,Water
15,217,227,54,6,Water
2914,845,1130,1652,2372,BarrenLand
2598,875,1068,1306,1896,BarrenLand
23,272,312,157,26,Water
2465,541,755,825,2174,BarrenLand
1479,426,615,429,2244,Forests
2330,601,728,986,1580,BarrenLand
1492,487,524,631,880,BarrenLand
1345,423,599,401,2358,Forests
1874,482,648,661,2216,Forests
2847,1376,1384,1450,1573,Infrastructure
21,240,245,107,65,Water
2901,769,938,1274,1864,BarrenLand
28,251,277,133,72,Water
2227,1266,1340,1444,2183,Infrastructure
1373,407,550,379,2326,Forests
20,252,327,170,31,Water
181,437,536,366,408,Water
2422,617,744,1021,1518,BarrenLand
2711,900,1090,1400,1982,BarrenLand
2285,607,801,1054,1905,BarrenLand
224,543,607,430,479,Water
2349,532,780,804,2331,BarrenLand
2723,869,1066,1368,1906,BarrenLand
2382,615,733,957,1474,BarrenLand
2271,1282,1378,1692,1990,Infrastructure
2241,566,706,968,1721,BarrenLand
4204,1948,2780,3188,2932,Infrastructure
26,217,230,109,69,Water
2003,1070,1328,1456,1625,Infrastructure
1332,455,601,537,1836,Agriculture
310,533,638,539,444,Water
1961,498,678,455,2900,Forests
1969,1032,1168,1332,1634,Infrastructure
1966,409,571,558,2010,Agriculture
2476,551,733,863,2069,BarrenLand
2623,894,1082,1374,1897,BarrenLand
2448,499,666,748,2144,BarrenLand
1710,394,552,522,2136,Agriculture
1869,1166,1208,1454,1610,Infrastructure
17,250,334,157,25,Water
1467,375,513,588,1016,Agriculture
1603,531,670,583,1851,Agriculture
204,530,624,477,466,Water
19,223,327,158,41,Water
190,493,571,408,435,Water
2934,621,808,1154,1966,BarrenLand
1812,608,711,711,1948,Agriculture
1931,476,578,432,2486,Forests
33,247,280,138,66,Water
4069,886,1130,1614,2536,Agriculture
1408,393,522,370,2232,Forests
2800,736,924,1240,1991,BarrenLand
20,243,327,156,29,Water
32,282,385,214,47,Water
2331,462,526,615,1104,Agriculture
20,234,319,158,24,Water
4019,857,1094,1490,2856,Agriculture
20,208,211,73,30,Water
21,234,320,158,26,Water
16,207,197,60,19,Water
1445,1024,1144,1216,1300,Infrastructure
19,238,326,153,25,Water
1825,562,691,655,1998,Agriculture
2752,691,877,1196,1908,BarrenLand
1182,356,484,346,1896,Forests
3157,1304,1498,1592,1569,Infrastructure
34,295,395,216,31,Water
1780,592,700,744,1438,Agriculture
1723,717,810,882,1222,Infrastructure
26,226,242,114,63,Water
270,201,264,138,236,Water
1636,391,529,442,2226,Agriculture
1933,1160,1266,1344,1632,Infrastructure
362,610,694,509,491,Water
2162,2040,2270,2480,2810,Infrastructure
1294,483,635,457,2216,Forests
1825,562,669,637,2010,Agriculture
1906,783,1005,957,1121,Infrastructure
2559,1516,1518,1700,1897,Infrastructure
1403,521,631,438,2392,Forests
1247,411,518,346,1962,Forests
1731,509,670,463,2448,Forests
1875,542,759,650,2622,Forests
1626,487,650,462,2514,Forests
1718,1206,1444,1390,1782,Infrastructure
2662,631,830,1116,1844,BarrenLand
1458,447,614,432,2696,Forests
1529,544,664,495,2822,Forests
